============================
      STRUCTURAL RESULTS    
============================

DEFLECTION RESULT
-----------------
Deflection = 0.000198529

STIFFNESS MATRIX
----------------

                mod1      mod2      mod3      mod4      mod5      mod6      mod7      mod8      mod9     mod10
    floor1         2         5         8        11        14        17        20        23        26        29
    floor2         5        16        28        40        52        64        76        88       100       112
    floor3         8        28        54        81       108       135       162       189       216       243
    floor4        11        40        81       128       176       224       272       320       368       416
    floor5        14        52       108       176       250       325       400       475       550       625
    floor6        17        64       135       224       325       432       540       648       756       864
    floor7        20        76       162       272       400       540       686       833       980      1127
    floor8        23        88       189       320       475       648       833      1024      1216      1408
    floor9        26       100       216       368       550       756       980      1216      1458      1701
   floor10        29       112       243       416       625       864      1127      1408      1701      2000
